YYYY,MM2,JULIAN,DENSyc,GRID,HANDLER_FIELD,MeanTemp,TotPrecip,ID,SEXc,AGEc,REPRO1,REPROc,MASS_FIELD,DENSd,F_LOAD,B_LOAD,M_LOAD,T_LOAD,LAB,OF_dist,OF_GROOM_t,OF_TIME_MIN,TIME_CAPT,MASS_LAB
2016,5,145,0.5,cow,sn,18.8,0,A036,-0.5,-0.5,non,-0.5,13.5,4,0,0,0,0,y,11971.5,91.2,556,426,13.26
2016,5,146,0.5,cow,hp,18.8,0,A076,-0.5,-0.5,non,-0.5,10,8,0,0,0,0,y,6755.97,17.28,499,373,10.64
2016,5,146,0.5,cow,sn,18.8,0,A077,-0.5,0.5,preg,0.5,35,8,0,0,0,0,n,NA,NA,NA,378,NA
2016,5,146,0.5,cow,sn,18.8,0,A078,-0.5,0.5,vulv,0.5,32,8,0,0,0,0,y,4011.68,6.56,514,407,31.02
2016,5,146,0.5,cow,jv,18.8,0,A070,-0.5,-0.5,non,-0.5,14.5,8,0,0,0,0,y,7645.22,93.52,540,402,14.59
2016,5,146,0.5,cow,hp,18.8,0,A019,-0.5,0.5,preg,0.5,28,8,0,0,0,0,n,NA,NA,NA,401,NA
2016,5,146,0.5,cow,hp,18.8,0,A040,-0.5,-0.5,non,-0.5,13.5,8,0,0,0,0,n,NA,NA,NA,415,NA
2016,5,146,0.5,cow,jv,18.8,0,A036,-0.5,-0.5,non,-0.5,5.5,8,0,0,0,0,n,NA,NA,NA,433,NA
2016,5,146,0.5,cow,hp,18.8,0,A038,-0.5,-0.5,non,-0.5,16.5,8,0,0,0,0,y,8701.49,70.16,646,445,17.15
2016,5,147,0.5,cow,hp,20.5,0.6,A079,0.5,-0.5,non,-0.5,15,2,0,0,0,0,n,NA,NA,NA,378,NA
2016,5,147,0.5,cow,sn,20.5,0.6,A080,0.5,-0.5,non,-0.5,16,2,0,0,0,0,y,8064.65,118,501,376,20.57
2016,5,147,0.5,QUBS,jv,20.5,0.6,A081,-0.5,-0.5,non,-0.5,15.5,1,0,0,0,0,y,8936.92,125.68,510,396,13.04
2016,5,148,0.5,cow,hp,22.5,0,A082,0.5,0.5,scro,0.5,23.5,9,0,0,0,0,y,6908.11,211.04,577,373,23.87
2016,5,148,0.5,cow,jv,22.5,0,A019,-0.5,0.5,vulv,0.5,27.5,9,0,0,0,0,n,NA,NA,NA,378,NA
2016,5,148,0.5,cow,sn,22.5,0,A074,-0.5,-0.5,non,-0.5,13,9,0,0,0,0,n,NA,NA,NA,390,NA
